Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Meigs-124-21.16 Transportation Corridor  Relocating existing OH-124 and US 33  Meigs County  OH,Final,06/12/2000,05/12/2000,Federal Highway Administration,,OH
Maurice National Scenic and Recreational River (NS&RR) Comprehensive Management Plan   Implementation  Atlantic and Cumberland Counties  NJ,Draft,07/14/2000,05/12/2000,National Park Service,,NJ
Buffalo Inner Harbor Development Project  Waterfront Development  Funding and COE Section 10 and 404 Permit Issuance  New Information in Response to a Court Order concerning Historic Preservation  Erie County  NY,Draft Supplement,06/02/2000,05/05/2000,Federal Transit Administration,,NY
Sierra Nevada Forest Plan Amendment Project  Implementation  several counties  CA and NV,Draft,08/11/2000,05/05/2000,Forest Service,,CA
Box Canyon Timber Sale  Vegetative Management  Implementation  Palisades Ranger District  Caribou-Targhee National Forest  Bonneville County  ID,Draft,06/19/2000,05/05/2000,Forest Service,,ID
New Mississippi River Crossing   Relocated I-70 and I-64 Connector  Funding  COE Section 404 and 10 Permits  and NPDES Permit  St. Louis County  MO,Draft,07/28/2000,05/05/2000,Federal Highway Administration,,MO
Uncompahgre National Forest Travel Plans Revision  Implementation  Grand Mesa  Uncompahgre and Gunnision National Forests  Garrision  Hinsdale  Mesa  Montrose  Ouray and San Juan Counties  CO,Final,06/30/2000,05/05/2000,Forest Service,,CO
Bull Lake Estates Road Access Project  Implementation  Easement Grant Permit  Kootenai National Forest  Three Rivers Rangers District  Lincoln County  MT,Final,04/27/2000,04/28/2000,Forest Service,,MT
Kuakan Timber Sale  Timber Harvesting in the Kuakan Project Area  Implementation  Deer Island within the Wrangell Ranger District  Stikine Area of the Tongass National Forest  AK,Final,05/23/2000,04/28/2000,Forest Service,,AK
Woodrow Wilson Bridge Improvements  Updated Information concerning the Changes and Discussions in Differences between Alternative 4A of the September 1997 FEIS and Current Design Alternative 4A  I-95/I-495 (Capital Beltway)  Telegraph Road to MD-210  Funding  COE Section 10 and 404 Permits and CGD Bridge Permit Issuance  City of Alexandria  Fairfax County  VA; Prince George's County  MD and DC,Third Final Supplemental,05/30/2000,04/28/2000,Federal Highway Administration,,DC - MD
Little Pend Oreille National Wildlife Refuge  Implementation  Comprehensive Conservation Plan  Stevens and Pend Oreille  Counties  WA,Final,05/10/2000,04/28/2000,Fish and Wildlife Service,,WA
TN-374 ( North Parkway) Project  Construction from TN 13 to TN 76 in Clarksville  Funding  US Coast Guard and COE Section 404 Permits  Montgomery County  TN,Draft,05/06/2000,04/28/2000,Federal Highway Administration,,TN
US 101 Highway Aberdeen-Hoquiam Corridor Project  Improvements  US Coast Guard and COE Section 404 Permit  Grays Harbor County  WA,Final,06/12/2000,04/28/2000,Federal Highway Administration,,WA
US-35 Improvements for Interstate 64 to Henderson  Funding and COE Section 404 Permit  Mason and Putnam Counties  WV,Final,05/31/2000,04/28/2000,Federal Highway Administration,,WV
Brownlee Vegetation and Access Management Project  Implementation  Weiser Ranger District  Payette National Forest  Washington County  ID,Draft,07/07/2000,04/21/2000,Forest Service,,ID
Fenwick Island Feasibility Study  Storm Damage Reduction  In the Community of Fenwick Island  Sussex County  DE,Draft,06/20/2000,04/21/2000,U.S. Army Corps of Engineers,,DE
Upper Charley Subwatershed Ecosystem Restoration Projects  Implementation  Pomeroy Ranger District  Umatilla National Forest  Garfield County  WA,Draft,06/12/2000,04/21/2000,Forest Service,,WA
Pacific Northwest Region Douglas-Fir Tussock Moth (orgvia pseudotsugata) Project  to Partially Control an Anticipated Outbreak of Douglas Fir Tussock Moth  To be Implemented in 9 National Forests in WA and OR,Final,05/22/2000,04/21/2000,Forest Service,,WA
Puainako Street Extension and Widening  Traffic Circulation Improvements  Funding  South Hilo  Hawaii County  HI,Final,05/11/2000,04/21/2000,Federal Highway Administration,,HI
Iron Honey Resource Area Project  Aquatic  Vegetative and Wildlife Habitat Improvements Activities  Implementation  Coeur d'Alene River Ranger District  Idaho Panhandle National Forests  Kootenai and Shoshone Counties  ID,Draft,06/12/2000,04/21/2000,Forest Service,,ID
Wolf Lake Area Natural Gas Project  Construction  Approval for Right-of-Way Grant  Kenai National Wildlife Refuge  Soldotna  AK,Final,06/12/2000,04/21/2000,Fish and Wildlife Service,,AK
Lake Okeechobee Regulation Schedule Study  Revised Information  To Maintain or Improve Existing Water Storage  St. Lucie and Caloosahatchee River Estuaries  FL,Revised Final,05/22/2000,04/21/2000,U.S. Army Corps of Engineers,,FL
Stillwater National Wildlife Refuge Complex Comprehensive Conservation Plan and Boundary Revision  Implementation  Churchill and Washoe Counties  NV,Draft,06/22/2000,04/21/2000,Fish and Wildlife Service,,NV
South Carolina - Federal Correctional Institution  Construct and Operate  Possible Sites; Andrew  Bennettsville  Oliver and Salters  SC,Final,05/10/2000,04/21/2000,Bureau of Prisons,,SC
South Baggs Natural Gas Development Area  Proposal to Drill and Develop 50 Natural Gas Wells  Application for Permit to Drill and COE Section 404 Permit  Carbon County  WY,Final,05/17/2000,04/21/2000,Bureau of Land Management,,WY
East Side Project  Improvements to Timber Management  Transportation System Development and Wildlife Habitat  From Existing Condition (EC) to Desired Future Condition (DFC)  Allegheny National Forest  Bradford and Marienville District  Elk  Forest  McKean and Warren Counties  PA,Draft,06/12/2000,04/21/2000,Forest Service,,PA
Rhyolite Fuel Ecosystem Rehabilitation Project to the South Spruce Ecosystem Rehabilitation Project  Implementation  Dixie National Forest  Cedar City Ranger District  Iron County  UT,Draft Supplement,06/16/2000,04/21/2000,Forest Service,,UT
Lakeface-Lamb Fuel Reduction Project  To Reduce the Risk of Lethal Fires within a Wildland/Urban Interface  Implementation  Idaho Panhandle National Forests  Priest Lake Ranger District  Bonner County  ID,Draft,06/09/2000,04/21/2000,Forest Service,,ID
Stewart Airport Access Transportation Improvement Project  A New Interchange on I-84 at Drury Lane  Reconstruction of Drury Lane and a new East-West Connector Road from Drury Lane  Stewart International Airport  Funding  Towns of Montgomery  Newburgh and New Windsor  Orange County  NY,Final,05/19/2000,04/14/2000,Federal Highway Administration,,NY
Shenandoah Valley Battlefields National Historic District Management Plan  Implementation  Several Counties  VA,Draft,06/08/2000,04/14/2000,National Park Service,,VA
Union County Multipurpose Reservoir/Other Water Supply Alternatives Project  To Provide an Adequate and Reliable Water Supply  COE Section 404 Permit and NPDES Permit  City of New Alban  Union County  MS,Draft,05/26/2000,04/14/2000,Tennessee Valley Authority,,MS
Yosemite Valley Plan   A Comprehensive Look at Four Areas of Concern; Resource Preservation and Restoration; Visitor Enjoyment  Transportation  and Employee Housing  from Happy Isles to El Portal Road/Big Oak Flat Road  Merced River  Several Counties  CA,Draft,07/12/2000,04/14/2000,National Park Service,,CA
Central and Southern Florida Project for Flood Control and Other Purposes  Everglades National Park Modified Water Deliveries  New Information concerning Flood Mitigation to the 8.5 Square Mile Area (SMA)  Implementation  South Miami  Dade County  FL,Draft Supplement,06/02/2000,04/14/2000,U.S. Army Corps of Engineers,,FL
Savannah River Site Spent Nuclear Fuel Management Plan  Implementation  Aiken County  SC,Final,05/15/2000,04/14/2000,Department of Energy,,SC
El Paso - Las Cruces Regional Sustainable Water Project  To Secure Future Drinking Water Supplies  United States and New Mexico,Draft,06/27/2000,04/14/2000,International Boundary and Water Commission,,
PROGRAMMATIC - Navajo Ten Year Forest Management Plan Alternatives  Implementation and Funding  AZ and NM,Final,04/26/2000,04/14/2000,Bureau of Indian Affairs,,AZ
East Slate Project  Harvesting Timber  Implementation  Idaho Panhandle National Forest  St. Joe Ranger District  Shoshone County  ID,Draft,05/10/2000,04/14/2000,Forest Service,,ID
Evolved Expendable Launch Vehicle Program  Updated Information  To Allow the Addition of up to 5 Strap-on Solid Rocket Motors (SRM) to the Atlas V and Delta IV Lift Vehicle  Launch Locations are Cape Canaveral Air Station  Brevard County  FL  and  Vandenberg Air Force Base (AFB)  Santa Barbara County  CA,Final Supplement,05/12/2000,04/14/2000,United States Air Force,,CA
Piedmont Triad International Airport  Construction and Operation  Runway 5L/23R and New Overnight Express Air Cargo Sorting and Distribution Facility  and Associated Developments  Funding  NPDES and COE Section 404 Permit  City of Greensboro  Guilford County  NC,Draft,06/21/2000,04/14/2000,Federal Aviation Administration,,NC
Colville Indian Reservation Integrated Resource Management Plan  Implementation  Colville Indian Reservation  Okanogan and Ferry Counties  WA,Draft,07/21/2000,04/14/2000,Bureau of Indian Affairs,,WA
Good Creek Resource Management Project  Implementation  Vegetation Treatments and Other Activities to Restore Watershed  Flathead National Forest  Tally Lake Ranger District  Flathead County  MT,Final,04/18/2000,04/14/2000,Forest Service,,MT
JJ (Jerry Johnson) Ecosystem Restoration Project  Implementation  Clearwater National Forest  Lochsa Ranger District (Powell)  Idaho County  ID,Draft,06/05/2000,04/07/2000,Forest Service,,ID
Los Angeles and Long Beach Harbors Navigation Improvements and Landfill Development Project  Construction and Approval of Master Plan Amendment  Los Angeles County  CA,Draft Supplement,05/22/2000,04/07/2000,U.S. Army Corps of Engineers,,CA
Vasona Corridor Light Rail Transit Project  Extension of existing Light Rail Transit (LRT)  in portion of the Cities of San Jose  Campbell and Los Gatos  Santa Clara County  CA,Final,04/12/2000,04/07/2000,Federal Transit Administration,,CA
Interior Columbia Basin Ecosystem Management Project  Updated and New Information on 3 Management Alternatives  Implementation  WA  ID  OR  MT,Draft Supplement,07/06/2000,04/07/2000,Forest Service,,MT - WA - OR
Provincetown Municipal Airport Safety and Operational Enhancement Project  Improvements (1) Firefighter Equipment Garage; (2) General Aviation Parking Apron Expansion; (3) Runaway Safety Areas and (4) Runway Extension  COE Section 404 Permit Cape Cod National Seashore  Barnstable County  MA,Final,05/09/2000,04/07/2000,Federal Aviation Administration,,MA
Warm Springs Ridge Vegetation Management Project  Improve Forest Conditions  Boise National Forest  Cascade Resource Area  Boise County  ID,Draft,05/22/2000,04/07/2000,Forest Service,,ID
Idaho Panhandle National Forests  Small Sales  Harvesting Dead and Damaged Timber  Coeur d'Alene River Range District  Kootenai and Shoshone Counties  ID,Draft,05/24/2000,04/07/2000,Forest Service,,ID
Duck and Sheriff Project Area (DSPA)  Timber Management  Road Construction and Reconstruction  Trail Maintenance  Wildlife Habitat Improvement  and Recreation Management  Allegheny National Forest   Bradford Ranger District  Cherry Grove Township of Warren County  and Howe Township of Forest County  PA,Draft,05/22/2000,04/07/2000,Forest Service,,PA
Downtown Sacramento - Folsom Corridor  Project   Improvement of Transit Services  US 50/Folsom Boulevard  Funding and COE Section 404 Permit  Transportation Systems Management (TSM) and Light Rail Transit (LRT)  City and County of Sacramento  CA,Final,04/12/2000,03/31/2000,Federal Transit Administration,,CA
Norfolk-Virginia Beach Light Rail Transit System East/West Corridor Project  Transportation Improvements   Funding and COE Section 404 Permit  Tidewater Transportation District Commission  City of Norfolk and City of Virginia  Beach  VA,Final,05/01/2001,03/31/2000,Federal Transit Administration,,VA
LEGISLATIVE - DSEIS - North Fork of the South Platte and the South Platte Rivers Wild and Scenic River Study for Designation or Non-Designation into the National Wild and Scenic Rivers System  Pike and San Isabel National Forests  Comache and Cimarron National Grasslands  Douglas  Jefferson  Park and Teller Counties  CO,Draft Supplement,06/27/2000,03/31/2000,Forest Service,,CO
South Lawrence Trafficway Construction  Kansas Turnpike  I-70 to KS-10/Noria Road  New Information concerning KS-10 on the East and US 59 on the West  Funding  COE Section 404 Permit and Right-of-Way Acquisition  Douglas County  KS,Final Supplement,06/23/2000,03/31/2000,Federal Highway Administration,,KS
Greenfield Sites  Addition of Electric Generation Peaking and Base Load Capacity Project  Construction and Operation of Combustion Turbines (CTs)  Haywood County  TN,Final,04/18/2000,03/31/2000,Tennessee Valley Authority,,TN
Groundwater Replenishment System Program  Repurifying Water from the Orange County Water District (OCWD) and Orange County Sanitation District (OCSD)  Funding and COE Section 404 Permit  Orange County   CA,Final,04/27/2000,03/31/2000,Bureau of Reclamation,,CA
Pretty Tree Bench Vegetation Project  Implementation  Dixie National Forest  Escalante Ranger District  Garfield County  UT,Final,04/21/2000,03/31/2000,Forest Service,,UT
Grizzly Bear (Ursus arctos horribilus) Recovery Plan in the Bitterroot Ecosystem  Implementation  Endangered Species Act  Proposed Special Rule 10 (j) Establishment of a Nonessential Experimental Population of Grizzly Bears in the Bitterroot Area  Several Counties  ID and Mineral  Missoula  Ravalli  and Sander Counties  MT,Final,04/04/2000,03/24/2000,Fish and Wildlife Service,,ID
Coalfields Expressway Location Study  Construction from Route 23 near Pound  VA to the WV State Line east of Slate  VA  Funding and COE Section 404 Permit  Wise  Dickerson and Buchanan Counties   VA,Draft,07/05/2000,03/24/2000,Federal Highway Administration,,VA
Middle Fork Weiser River Watershed Project  Implementation of Vegetation  Restoration  Landscape Fire Pattern and Watershed Restoration Objectives  Payette National Forest   Council Ranger District  Adams County  ID,Draft,05/18/2000,03/17/2000,Forest Service,,ID
